DateKey,Date,Year,Quarter,Month,Day,Weekday,WeekOfYear,DayName,IsHoliday
20200101,2020-01-01,2020,1,1,1,4,0,Wednesday,0
20200102,2020-01-02,2020,1,1,2,5,0,Thursday,0
20200103,2020-01-03,2020,1,1,3,6,0,Friday,0
20200104,2020-01-04,2020,1,1,4,7,0,Saturday,1
20200105,2020-01-05,2020,1,1,5,1,1,Sunday,1
20200106,2020-01-06,2020,1,1,6,2,1,Monday,0
20200107,2020-01-07,2020,1,1,7,3,1,Tuesday,0
20200108,2020-01-08,2020,1,1,8,4,1,Wednesday,0
20200109,2020-01-09,2020,1,1,9,5,1,Thursday,0
20200110,2020-01-10,2020,1,1,10,6,1,Friday,0
20200111,2020-01-11,2020,1,1,11,7,1,Saturday,1
20200112,2020-01-12,2020,1,1,12,1,2,Sunday,1
20200113,2020-01-13,2020,1,1,13,2,2,Monday,0
20200114,2020-01-14,2020,1,1,14,3,2,Tuesday,0
20200115,2020-01-15,2020,1,1,15,4,2,Wednesday,0
20200116,2020-01-16,2020,1,1,16,5,2,Thursday,0
20200117,2020-01-17,2020,1,1,17,6,2,Friday,0
20200118,2020-01-18,2020,1,1,18,7,2,Saturday,1
20200119,2020-01-19,2020,1,1,19,1,3,Sunday,1
20200120,2020-01-20,2020,1,1,20,2,3,Monday,0
20200121,2020-01-21,2020,1,1,21,3,3,Tuesday,0
20200122,2020-01-22,2020,1,1,22,4,3,Wednesday,0
20200123,2020-01-23,2020,1,1,23,5,3,Thursday,0
20200124,2020-01-24,2020,1,1,24,6,3,Friday,0
20200125,2020-01-25,2020,1,1,25,7,3,Saturday,1
20200126,2020-01-26,2020,1,1,26,1,4,Sunday,1
20200127,2020-01-27,2020,1,1,27,2,4,Monday,0
20200128,2020-01-28,2020,1,1,28,3,4,Tuesday,0
20200129,2020-01-29,2020,1,1,29,4,4,Wednesday,0
20200130,2020-01-30,2020,1,1,30,5,4,Thursday,0
20200131,2020-01-31,2020,1,1,31,6,4,Friday,0
20200201,2020-02-01,2020,1,2,1,7,4,Saturday,1
20200202,2020-02-02,2020,1,2,2,1,5,Sunday,1
20200203,2020-02-03,2020,1,2,3,2,5,Monday,0
20200204,2020-02-04,2020,1,2,4,3,5,Tuesday,0
20200205,2020-02-05,2020,1,2,5,4,5,Wednesday,0
20200206,2020-02-06,2020,1,2,6,5,5,Thursday,0
20200207,2020-02-07,2020,1,2,7,6,5,Friday,0
20200208,2020-02-08,2020,1,2,8,7,5,Saturday,1
20200209,2020-02-09,2020,1,2,9,1,6,Sunday,1
20200210,2020-02-10,2020,1,2,10,2,6,Monday,0
20200211,2020-02-11,2020,1,2,11,3,6,Tuesday,0
20200212,2020-02-12,2020,1,2,12,4,6,Wednesday,0
20200213,2020-02-13,2020,1,2,13,5,6,Thursday,0
20200214,2020-02-14,2020,1,2,14,6,6,Friday,0
20200215,2020-02-15,2020,1,2,15,7,6,Saturday,1
20200216,2020-02-16,2020,1,2,16,1,7,Sunday,1
20200217,2020-02-17,2020,1,2,17,2,7,Monday,0
20200218,2020-02-18,2020,1,2,18,3,7,Tuesday,0
20200219,2020-02-19,2020,1,2,19,4,7,Wednesday,0
20200220,2020-02-20,2020,1,2,20,5,7,Thursday,0
20200221,2020-02-21,2020,1,2,21,6,7,Friday,0
20200222,2020-02-22,2020,1,2,22,7,7,Saturday,1
20200223,2020-02-23,2020,1,2,23,1,8,Sunday,1
20200224,2020-02-24,2020,1,2,24,2,8,Monday,0
20200225,2020-02-25,2020,1,2,25,3,8,Tuesday,0
20200226,2020-02-26,2020,1,2,26,4,8,Wednesday,0
20200227,2020-02-27,2020,1,2,27,5,8,Thursday,0
20200228,2020-02-28,2020,1,2,28,6,8,Friday,0
20200229,2020-02-29,2020,1,2,29,7,8,Saturday,1
20200301,2020-03-01,2020,1,3,1,1,9,Sunday,1
20200302,2020-03-02,2020,1,3,2,2,9,Monday,0
20200303,2020-03-03,2020,1,3,3,3,9,Tuesday,0
20200304,2020-03-04,2020,1,3,4,4,9,Wednesday,0
20200305,2020-03-05,2020,1,3,5,5,9,Thursday,0
20200306,2020-03-06,2020,1,3,6,6,9,Friday,0
20200307,2020-03-07,2020,1,3,7,7,9,Saturday,1
20200308,2020-03-08,2020,1,3,8,1,10,Sunday,1
20200309,2020-03-09,2020,1,3,9,2,10,Monday,0
20200310,2020-03-10,2020,1,3,10,3,10,Tuesday,0
20200311,2020-03-11,2020,1,3,11,4,10,Wednesday,0
20200312,2020-03-12,2020,1,3,12,5,10,Thursday,0
20200313,2020-03-13,2020,1,3,13,6,10,Friday,0
20200314,2020-03-14,2020,1,3,14,7,10,Saturday,1
20200315,2020-03-15,2020,1,3,15,1,11,Sunday,1
20200316,2020-03-16,2020,1,3,16,2,11,Monday,0
20200317,2020-03-17,2020,1,3,17,3,11,Tuesday,0
20200318,2020-03-18,2020,1,3,18,4,11,Wednesday,0
20200319,2020-03-19,2020,1,3,19,5,11,Thursday,0
20200320,2020-03-20,2020,1,3,20,6,11,Friday,0
20200321,2020-03-21,2020,1,3,21,7,11,Saturday,1
